,win_interval,n_std,daily_profit,profit_up,profit_low,best_profit_up,best_profit_low,break_up,break_low,valid_break_up,valid_break_low,valid_up_duration,valid_low_duration,up_proportion,low_proportion
0,3600,0.3,21773.72274408384,76767.66110864267,75648.39809994421,228849.89605229325,258394.81953371223,64729,64690,41008,41119,134810,121979,0.4106734005754012,0.38788984660182696
1,3600,0.6,29045.92161023358,101441.98672560329,101879.4645460318,193206.69881917202,223813.9470143761,59102,59318,27609,27907,84178,74789,0.31928582795515237,0.2989650634180384
2,3600,0.7,30140.85698430884,104934.18904947746,106051.80984068444,183588.71862732468,214332.44289234706,56930,56876,24552,24918,73524,66497,0.2908993566878407,0.2716848013605276
3,3600,0.8,30818.505243083262,107343.35443602943,108386.18226555342,174509.00057056773,205809.6463347824,54591,54171,21999,22300,65570,60525,0.2641732909000211,0.24502469778110242
4,3600,0.9,31098.044708195044,108118.05805790304,109568.25489946225,165923.218874863,197447.21511597355,51775,51341,19743,20068,60535,55751,0.23863461670196986,0.2207755142983536
5,3600,1.0,31105.022470995686,107872.7235682408,109862.433728729,158179.9385022657,187066.69401854931,48837,48298,17771,18142,57163,52322,0.2145829181482434,0.1985580153933686
6,3600,1.1,30914.758123377447,106852.7170556313,109550.5898080108,151116.37342748692,179779.3448653481,45799,45283,16048,16451,53708,49486,0.19210266208220503,0.17763826559365578
7,3600,1.2,30410.8602434267,104967.46237044253,107908.5593335444,143228.42455691268,171524.2709187632,42643,42261,14463,14879,51243,47071,0.17132692322659246,0.15813742389799343
8,3600,1.5,28002.82385235985,95661.03119373397,100358.73577278499,121023.54878153722,149143.8715252249,33433,33488,10594,11102,45285,41060,0.11929701390371204,0.10791614773395852
9,3600,1.8,24798.750111207406,84157.47856420102,89433.77221425083,101390.41152957498,127277.13617835383,25517,25569,7810,8244,41766,37047,0.08077838918238896,0.07221147580389078
10,7200,0.3,22384.41958449757,79081.52237608861,77609.41471539438,225067.40341002072,253740.863262578,64066,63938,39746,39725,124379,116193,0.3994348464186138,0.37783980186970223
11,7200,0.6,29018.18285667545,101662.58577486384,101464.69422186431,188146.73308417693,217390.30215600363,57015,57510,26152,26472,74651,70898,0.30390516956851565,0.281262605581312
12,7200,0.7,29863.536812052364,104643.78374427154,104400.97394009502,178149.10480734296,204877.83509393633,54698,54701,23154,23415,65902,62739,0.27483880749113093,0.25155428681229736
13,7200,0.8,30317.65432854401,106275.29834573343,105948.28195407461,168094.51038975824,195720.5221288261,52112,51594,20580,20838,58802,57648,0.2481262767727442,0.22489982495525934
14,7200,0.9,30467.58273898516,106481.80445644962,106791.27471644648,159901.75978805014,186533.91267892084,48974,48744,18378,18706,54565,53419,0.22243181190933983,0.20052418315335513
15,7200,1.0,30289.974355178936,105306.22417366435,106723.59631258818,151776.57591511123,178548.40499155465,45998,45640,16397,16848,50842,49534,0.1985298796908214,0.17765011393403216
16,7200,1.1,29885.364900718316,103964.56226108235,105232.99204394585,144150.09167832462,170185.62722017127,42897,42496,14727,15108,48656,45807,0.17635861637225914,0.1566726528308284
17,7200,1.2,29376.195683175847,101925.19785365336,103708.17192857758,136179.67688371893,162771.99841337037,39999,39276,13242,13665,46149,43947,0.15586523179894227,0.13790134451691494
18,7200,1.5,26513.7395727012,90598.3435242754,94997.83348463301,113051.81938195099,139645.82949826066,31008,30173,9476,10043,41881,38316,0.10411046933805992,0.09197988398548748
19,7200,1.8,23049.802735793106,77791.60867043873,83557.010480113,91982.92899925349,121187.66804525668,22726,22381,6779,7369,37916,33922,0.0669754837803198,0.05968233220025148
20,14400,0.3,22952.821444419096,81197.98945010337,79471.7606608303,219675.05093630124,249855.99562986795,62953,63406,38059,38419,117698,109114,0.3929733880400301,0.36650107511144153
21,14400,0.6,28730.138261361604,99598.12260725442,101512.84522227682,179263.2591829191,210231.64998453154,54246,56313,24425,25146,70987,66759,0.28972684731776344,0.26595844293404797
22,14400,0.7,29515.30726170045,101711.63977127525,104895.51106062789,169380.30170226897,200983.40750873493,51513,53619,21525,22361,63005,60475,0.26026371310025476,0.23632068499270503
23,14400,0.8,29677.795696814846,101947.44143969294,105797.128438011,159851.61431791674,191079.60875885756,48115,50359,18948,19818,57133,54600,0.23266414111637398,0.20859291474992864
24,14400,0.9,29558.719238593498,101376.53755236077,105534.49711779371,150880.44126620857,182370.05984371074,45121,46779,16838,17619,51630,49814,0.20660320561521067,0.18225413604943003
25,14400,1.0,29240.847941671967,100043.12883478768,104642.80675691609,141976.8641253636,173493.6253099946,42080,43297,15005,15755,48913,46820,0.1827948755816091,0.15994700524504893
26,14400,1.1,28647.74078914873,97420.38153319292,103113.80399084819,133789.49264238513,165532.90056784372,38752,40100,13315,14127,46710,44379,0.1604458485076635,0.13906390567383634
27,14400,1.2,27898.229835254366,94643.8996030923,100643.70924368824,126007.39069549492,156534.4014751906,35687,36749,11895,12660,44701,42063,0.14011787578486765,0.120913931876203
28,14400,1.5,24726.492395960937,82730.67411529207,90354.77265643449,103310.17224577379,135462.35509878918,26738,27481,8382,9131,39865,37056,0.09058218785990313,0.07692725098697174
29,14400,1.8,20916.604971736728,69461.13975321395,76955.09504894314,82533.2460116663,113830.5731026893,19156,19669,5888,6485,35398,30797,0.056619245010272226,0.04657345801872382
30,28800,0.3,23733.972689485156,83116.98898012431,83020.81984627178,214808.46660616572,246823.2956576283,62118,62626,36946,37160,112683,102166,0.3953035288343554,0.35176384421717677
31,28800,0.6,28437.799185635038,98826.96786473643,100237.62643470884,173382.58913759276,205904.62823208023,52630,53605,23292,23760,67510,61608,0.2849924253704096,0.24738513264122872
32,28800,0.7,28833.363970771225,99972.68747703209,101860.86031836647,162419.75573073467,195785.1062134727,48957,50434,20392,20939,59565,56257,0.2538404682350443,0.21846839628507145
33,28800,0.8,28887.90536744613,99738.48850855867,102476.84906356422,152753.94466198483,183496.82332576776,45372,47131,17919,18531,53883,51252,0.2264424647188606,0.19170723228932696
34,28800,0.9,28605.198091819435,98027.47373065811,102208.91291207791,143905.3166524226,174583.68108521163,41907,43685,15781,16464,50549,46746,0.20033966106666382,0.16716870535382006
35,28800,1.0,28207.27921204353,96554.33490776832,100896.61957653637,135729.88353988365,165275.94654184947,38792,40310,14053,14666,47464,43244,0.17634808530744203,0.14499863724613357
36,28800,1.1,27501.02055931968,93789.61178080372,98717.53213443405,127197.53857506457,156857.35075825843,35526,36756,12444,13070,44781,40667,0.15523155109898842,0.1247660209247417
37,28800,1.2,26692.297412208925,90820.62139876735,96025.46048669513,118966.60167960316,148559.164607894,32521,33687,11074,11674,42988,39257,0.13543812901509075,0.10723605688413171
38,28800,1.5,23230.40678200548,78246.49375210008,84366.3537219383,96268.22056161589,124640.24780660156,24145,24482,7657,8243,37270,33403,0.08777350269454173,0.06545172988838208
39,28800,1.8,19306.431388372665,64840.49143452984,70304.5282840788,75701.93815314566,104658.74073566963,17857,16907,5321,5718,33239,27872,0.05446375001543065,0.0384531852660233
40,43200,0.3,23873.84363102462,84046.68785327772,83070.21756389464,210867.44186940504,241751.56022323828,61101,60451,35581,35706,109746,98775,0.39294246354712464,0.34528082044424024
41,43200,0.6,27852.175363746886,97763.62389084045,97201.60365538778,167880.38575542733,198379.05154362464,50637,51058,22219,22510,64964,57738,0.2801042718713607,0.24331640168972166
42,43200,0.7,27866.075569909,97629.28019067593,97433.24879868705,156239.16477156433,187312.03980740305,47110,47684,19375,19658,57480,52077,0.2494767309528604,0.21564719860024942
43,43200,0.8,27613.027758777633,96358.05036204914,96933.14394939429,146458.13165537865,177256.32028839018,43412,44594,16969,17328,51916,47665,0.22120425103105612,0.18926858032205646
44,43200,0.9,27272.70775513758,94699.06784904627,96209.88643691679,138083.7632770765,165830.48772285256,40111,41280,15000,15392,48091,44265,0.1957358918466816,0.1650396922320941
45,43200,1.0,26768.861371340852,92352.71271237927,95029.31688700669,129304.673312615,157999.13572894016,36725,38076,13283,13734,45191,41556,0.17208942764178695,0.14369472864398336
46,43200,1.1,26068.518529065394,89266.79970737375,93212.829996084,121014.54461530354,150556.5739749145,33361,34835,11742,12279,43537,38808,0.15090075412968296,0.12422515950872988
47,43200,1.2,25194.96216803735,86113.37594089405,90251.3592353674,112831.18389454621,141648.29311085888,30525,31736,10412,10934,40953,36465,0.13196965377240782,0.1070183829654683
48,43200,1.5,21969.747876514295,74389.25969557444,79398.97544002562,91471.29075872048,119540.36319252048,22569,23227,7238,7739,34977,31993,0.08686544535683235,0.06613608740620619
49,43200,1.8,18429.899923536745,62273.06858854497,66736.23087621224,72338.34708012546,98479.34691461553,16060,16202,5046,5416,31983,27163,0.056173462240386225,0.03902943042466015
50,86400,0.3,24932.93529414903,87983.66452234177,86546.88253670142,198626.24259272235,221361.47365959347,57588,55698,31599,31339,100416,84421,0.39654329792477405,0.3228098695117038
51,86400,0.6,27345.393623738375,96287.99898208253,95129.7563840861,153513.78191375095,176815.74987084823,45336,43754,18675,18679,59981,51307,0.27265863219453423,0.21871419583404367
52,86400,0.7,26435.74149431592,92635.80889331507,92414.38156689638,139678.8838013454,163927.99881810189,40993,39559,15924,16007,53933,46445,0.23916706104169352,0.19031484465072482
53,86400,0.8,25221.688022749648,88529.982422752,88021.83373649552,127567.02444139219,149134.58029651138,36886,35922,13723,13719,48562,41886,0.2095825298292486,0.16489827771202364
54,86400,0.9,23848.26279330666,83529.31029060268,83408.52926254395,116529.86199282996,137843.6245472885,32856,32492,11876,11847,45699,37869,0.18363927756401452,0.14189093561111724
55,86400,1.0,22444.970800774365,78480.79176620125,78634.00383921928,106496.02427414831,128010.99029781097,29217,28967,10356,10335,42352,35670,0.16105772842685223,0.12175900893201472
56,86400,1.1,21016.809871987025,73444.88013646021,73672.78896744894,97852.04431770126,117953.57662732678,26168,26032,9062,9035,40235,33722,0.14059705829960392,0.10469098774675284
57,86400,1.2,19584.564017375782,67997.00324697589,69094.94487465457,89248.84595733104,109380.44451431323,23220,23300,7890,7916,37707,31449,0.12321967899508895,0.08959642791661103
58,86400,1.5,16272.032175753946,55926.640717262584,57977.584513015034,69249.01320605526,90564.9708953638,16109,16455,5400,5455,31349,26958,0.08352492808917508,0.05447706831138395
59,86400,1.8,13126.910466866397,45231.88025693529,46656.49301112948,53540.702024666374,73143.87437230625,10888,11215,3697,3714,27138,22451,0.05810160916236375,0.03175470879838041
